"AUDIENCE_PERFORMANCE_REPORT (Apr 1, 2016-Jul 1, 2016)"
Day,Campaign ID,Campaign,Audience,Impressions,Clicks,Conversions,Cost
2016-04-11,390878914,TNT GDN,uservertical::92000,209293,42,0.0,346313240
2016-04-14,390878914,TNT GDN,uservertical::92913,431,0,0.0,293780
2016-04-09,390878914,TNT GDN,uservertical::92000,146938,35,0.0,237444620
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::92914,1204,2,0.0,285520000
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::92000,850,4,0.0,237800000
2016-04-01,390878914,TNT GDN,uservertical::92000,152496,29,0.0,257073010
2016-04-08,390878914,TNT GDN,uservertical::92000,109430,20,0.0,174617530
2016-04-05,390878914,TNT GDN,uservertical::92000,24965,7,0.0,32844780
2016-04-06,390878914,TNT GDN,uservertical::92913,4797,1,0.0,6231310
2016-04-11,390878914,TNT GDN,uservertical::92913,4330,0,0.0,8575890
2016-04-13,390878914,TNT GDN,uservertical::92913,340,0,0.0,481530
2016-04-07,390878914,TNT GDN,uservertical::92913,3665,2,0.0,5059040
2016-04-06,390878914,TNT GDN,uservertical::92000,23953,3,0.0,35300930
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::92505,130,0,0.0,45720000
2016-04-05,390878914,TNT GDN,uservertical::92913,4991,0,0.0,6519580
2016-04-16,390878914,TNT GDN,uservertical::92913,3065,1,0.0,4903490
2016-04-09,390878914,TNT GDN,uservertical::92913,3002,2,0.0,4337510
2016-04-12,394914754,Hindware Rimless video promotion,uservertical::92910,35,0,0.0,7850000
2016-04-19,390878914,TNT GDN,uservertical::92913,2,0,0.0,0
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::92914,50,0,0.0,20600000
2016-04-06,390878914,TNT GDN,uservertical::92913,214,0,0.0,248520
2016-04-02,390878914,TNT GDN,uservertical::92000,193232,29,0.0,320869510
2016-04-03,390878914,TNT GDN,uservertical::92000,256712,78,0.0,381519370
2016-04-13,394914754,Hindware Rimless video promotion,uservertical::92910,5,0,0.0,1360000
2016-04-13,390878914,TNT GDN,uservertical::92000,235353,43,0.0,356322660
Total, --, --, --,5904427,1233,0.0,13951868740
